customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,risk_score,risk_tier,value_tier,business_segment,Churn_flag,churn_probability,ml_risk_tier,expected_revenue_at_risk,actual_revenue_at_risk
7590-VHVEG,Female,No,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0-6 mo,9.5,Critical,Low Value,Critical - At Risk,0,0.8305563267714902,Critical,24.792106354128983,0.0
5575-GNVDE,Male,No,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,25-48 mo,3.0,Medium,Medium Value,Medium Risk - Watch,0,0.10718223287686093,Low,6.10402816233723,0.0
3668-QPYBK,Male,No,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0-6 mo,7.5,High,Medium Value,High Risk - Monitor Closely,1,0.597907088638479,High,32.19729672318209,53.85
7795-CFOCW,Male,No,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,25-48 mo,2.0,Low,Low Value,Low Risk - Stable,0,0.10606574399150136,Low,4.486580970840507,0.0
9237-HQITU,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0-6 mo,11.0,Critical,Medium Value,Critical - At Risk,1,0.893472365016109,Critical,63.16849620663891,70.7
9305-CDSKC,Female,No,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,7-12 mo,9.5,Critical,High Value,Critical - High Value at Risk,1,0.8727121767200321,Critical,86.9657684101512,99.65
1452-KIOVK,Male,No,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,13-24 mo,7.5,High,High Value,High Risk - Monitor Closely,0,0.6876403472198456,High,61.268754937288236,0.0
6713-OKOMC,Female,No,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,7-12 mo,7.0,High,Low Value,High Risk - Low Value,0,0.42617786906920246,Medium,12.678791604808774,0.0
7892-POOKP,Female,No,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,25-48 mo,7.0,High,High Value,High Risk - Monitor Closely,1,0.7994763413512027,Critical,83.78512057360604,104.8
6388-TABGU,Male,No,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,49-72 mo,2.5,Medium,Medium Value,Medium Risk - Watch,0,0.047342467605579336,Low,2.6582795560532797,0.0
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,13-24 mo,6.0,High,Low Value,High Risk - Low Value,0,0.33372704095112127,Medium,16.66966569550851,0.0
7469-LKBCI,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,13-24 mo,1.0,Low,Low Value,Low Risk - Stable,0,0.051277502797019626,Low,0.9717086780035219,0.0
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,49-72 mo,4.5,Medium,High Value,Medium Risk - Watch,0,0.38297684302799717,Medium,38.43172619785951,0.0
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,49-72 mo,6.0,High,High Value,High Risk - Monitor Closely,1,0.6556888494208444,High,67.99493368494156,103.7
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,25-48 mo,6.0,High,High Value,High Risk - Monitor Closely,0,0.6997532795261656,High,73.82397099001047,0.0
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,49-72 mo,1.0,Low,High Value,Low Risk - Stable,0,0.11076415115464956,Low,12.544040118264062,0.0
8191-XWSZG,Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,49-72 mo,1.0,Low,Low Value,Low Risk - Stable,0,0.03826727706809629,Low,0.7902192714561883,0.0
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,49-72 mo,2.5,Medium,High Value,Medium Risk - Watch,0,0.129791518395077,Low,13.848755012754715,0.0
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,7-12 mo,6.5,High,Medium Value,High Risk - Monitor Closely,1,0.31093310710614425,Medium,17.163507512259162,55.2
4183-MYFRB,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,13-24 mo,8.0,High,High Value,High Risk - Monitor Closely,0,0.6807044661005064,High,61.2974371723506,0.0
8779-QRDMV,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0-6 mo,9.5,Critical,Low Value,Critical - At Risk,1,0.8975668418352455,Critical,35.588525278767484,39.65
1680-VDCWW,Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,7-12 mo,3.0,Medium,Low Value,Medium Risk - Watch,0,0.11273875595643507,Low,2.2322273679374143,0.0
1066-JKSGK,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0-6 mo,6.0,High,Low Value,High Risk - Low Value,1,0.4241394725082482,Medium,8.546410371041201,20.15
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,49-72 mo,1.5,Low,Medium Value,Low Risk - Stable,0,0.062110180298058856,Low,3.7203997998537255,0.0
